"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"308","Jet","Boeing",5.66,"Aug","International",162,8,30,40,17,21,187,430,1.3,170,0.05,10,4
"309","Jet","Boeing",5.66,"Sep","International",162,8,30,40,17,21,187,430,1.3,170,0.05,10,4
"310","Jet","Boeing",5.66,"Oct","International",162,8,30,40,17,21,187,430,1.3,170,0.05,10,4
"311","Jet","Boeing",4.08,"Aug","International",124,16,30,40,17,21,139,318,1.29,140,0.11,10,4
"312","Jet","Boeing",4.25,"Aug","International",17,21,30,40,17,21,156,354,1.27,38,0.55,10,4
"313","Jet","Boeing",4.25,"Sep","International",17,21,30,40,17,21,156,354,1.27,38,0.55,10,4
"314","Jet","Boeing",4.25,"Oct","International",17,21,30,40,17,21,156,354,1.27,38,0.55,10,4
"315","Jet","Boeing",2.5,"Jul","International",124,16,30,40,17,21,118,267,1.26,140,0.11,10,4
"316","Jet","Boeing",2.5,"Sep","International",124,16,30,40,17,21,118,267,1.26,140,0.11,10,4
"317","Jet","Boeing",2.5,"Oct","International",124,16,30,40,17,21,118,267,1.26,140,0.11,10,4
"318","Jet","Boeing",5.66,"Jul","International",162,8,30,40,17,21,245,545,1.22,170,0.05,10,4
"319","Jet","Boeing",2.66,"Jul","International",124,16,30,40,17,21,108,228,1.11,140,0.11,10,4
"320","Jet","Boeing",2.66,"Sep","International",124,16,30,40,17,21,108,228,1.11,140,0.11,10,4
"321","Jet","Boeing",2.66,"Oct","International",124,16,30,40,17,21,108,228,1.11,140,0.11,10,4
"322","Jet","Boeing",4.16,"Aug","International",124,16,30,40,17,21,297,620,1.09,140,0.11,10,4
"323","Jet","Boeing",3.16,"Aug","International",162,8,30,40,17,21,234,483,1.07,170,0.05,10,4
"324","Jet","Boeing",3.25,"Aug","International",124,16,30,40,17,21,234,483,1.06,140,0.11,10,4
"325","Jet","Boeing",4.08,"Sep","International",124,16,30,40,17,21,156,318,1.04,140,0.11,10,4
"326","Jet","Boeing",4.16,"Oct","International",124,16,30,40,17,21,156,318,1.04,140,0.11,10,4
"327","Jet","AirBus",9.5,"Aug","International",147,21,32,38,18,19,429,841,0.96,168,0.13,6,1
"328","Jet","Boeing",4.16,"Sep","International",124,16,30,40,17,21,324,620,0.91,140,0.11,10,4
"329","Jet","AirBus",9.5,"Jul","International",147,21,32,38,18,19,462,841,0.82,168,0.13,6,1
"330","Jet","Boeing",2.5,"Aug","International",124,16,30,40,17,21,147,267,0.81,140,0.11,10,4
"331","Jet","Boeing",2.66,"Aug","International",124,16,30,40,17,21,127,228,0.79,140,0.11,10,4
"332","Jet","Boeing",2.58,"Aug","International",162,8,30,40,17,21,172,304,0.77,170,0.05,10,4
"333","Jet","Boeing",2.58,"Sep","International",162,8,30,40,17,21,172,304,0.77,170,0.05,10,4
"334","Jet","Boeing",2.58,"Oct","International",162,8,30,40,17,21,172,304,0.77,170,0.05,10,4
"335","Jet","Boeing",4.33,"Jul","International",124,16,30,40,17,21,154,267,0.74,140,0.11,10,4
"336","Jet","Boeing",4.33,"Aug","International",124,16,30,40,17,21,154,267,0.74,140,0.11,10,4
"337","Jet","Boeing",4.33,"Sep","International",124,16,30,40,17,21,154,267,0.74,140,0.11,10,4
"338","Jet","Boeing",4.33,"Oct","International",124,16,30,40,17,21,154,267,0.74,140,0.11,10,4
"339","Jet","Boeing",3.16,"Sep","International",162,8,30,40,17,21,293,483,0.65,170,0.05,10,4
"340","Jet","Boeing",4.25,"Jul","International",17,21,30,40,17,21,215,354,0.65,38,0.55,10,4
"341","Jet","Boeing",2.58,"Jul","International",162,8,30,40,17,21,281,451,0.6,170,0.05,10,4
"342","Jet","Boeing",2.58,"Oct","International",162,8,30,40,17,21,295,464,0.58,170,0.05,10,4
"343","Jet","Boeing",3.25,"Sep","International",124,16,30,40,17,21,322,483,0.5,140,0.11,10,4
"344","Jet","Boeing",3.08,"Jul","International",138,28,30,40,17,21,354,524,0.48,166,0.17,10,4
